Country,Age,Gender,"Height (feet' inches"")","Weight in pounds (1Kg = 2.2lbs, example 50Kg = 50 x 2.2 = 110lbs, therefore enter 110)",What best describes your job domain?,What best describes your location?,In an average week how many hours do you spend lifting heavy objects?,How many injuries have you had over the past 6 months related to your job?,What has been the nature of your injuries (select all that apply)?,How often do you feel that you encounter barriers to safety in your occupation?,How often do you feel that you encounter barriers to performing your task in your occupation?,What is the nature of these barriers (select all that apply)?,Do you feel comfortable discussing barriers with your co-workers or your superiors?,How concerned are you that barriers may cause you to have reduced longevity in your job?,Do you (or would you) feel comfortable receiving assistance from a co-worker during lifting operations?,"When you require assistance from a co-worker in lifting, how do you (or would you) expect to receive it?","When receiving assistance from a co-worker in lifting, what form of interaction do you (or would you) prefer (select all that apply)","When a co-worker assists you in your tasks, do you feel that they respect your independence at task performance?","If a co-worker assists you in your tasks, do you feel worried that your job is at stake?","If a co-worker assists you in your tasks, would you feel safe at task performance?",Have you worked along-side or with robot assistants before on the job?,"If you have worked alongside robots in lifting operations, did the robot perform lifting by itself, or did you and the robot work together?","If you have worked alongside robots in lifting operations, did you feel safe working alongside the robot?","If you have worked alongside robots in lifting operations, did you feel that the robot respected your independence at task performance?","If you have worked alongside robots in lifting operations, did you feel worried that your job is at stake?","If a robot is available as a lifting assistant, what would you prefer?","If you want the robot's help, what would you prefer?","If a robot always lifted packages for you, would you feel that","If a robot always lifted packages for you, would you feel that","If a robot always lifted packages for you, would you feel that your job is at stake?","If a robot stood by the side, and never lifted packages for you, would you feel that","If a robot stood by the side and never lifted packages for you, would you feel that","If a robot stood by the side and never lifted packages for you, would you feel that your job is at stake?","If a robot helped you with lifting only when you need its help, would you feel that","If a robot helped you with lifting only when you need its help, would you feel that","If a robot helped you with lifting only when you need its help, would you feel that your job is at stake?","To detect whether you need help, the robot may have to record data about you, e.g., it may need to record your audio to hear your request, or it may need to record video to determine if you are struggling. If your audio data is recorded, how concerned are you about privacy issues?","If your video data is recorded, how concerned are you about privacy issues?","We now have computer software that can detect the movement of your body joints from video data. If the robot uses a camera to record your video, detect and store the movement of your body joints, and delete the video, how concerned would you be about privacy issues?"
USA,18 - 29,Male,"6' 2""",266,Warehousing,Suburban,6-20 hours,3 to 5,Impact from objects,Rarely,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",Occasionally,Somewhat concerned,Somewhat comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Somewhat,Not at all,Co-worker ensures I do not have lifting-related injuries,"Yes, but the robot was not involved in lifting operations",Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot does not respect my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,Not concerned,Not concerned,Not concerned
USA,30 - 39,Male,"5' 11""",220,Manufacturing,"Urban, mid-size city",21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee)",Never,Rarely,"Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Not concerned,Very comfortable,It depends on the package I am carrying and how I feel at the time,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Somewhat,Co-worker ensures I do not have lifting-related injuries,"Yes, and the robot was involved in lifting operations",The robot and I worked together to lift the package,Very safe,Not at all,Absolutely,"Sometimes I should be able to ask the robot to help, and sometimes the robot should figure out that I am struggling on its own",The robot and I should work together to lift the package,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,Very concerned,Very concerned,Not concerned
USA,18 - 29,Male,"5' 11""",168,Construction,Rural,6-20 hours,0 to 2,Impact from objects,Never,Never,No barriers,Yes,Not concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,"Yes, and the robot was involved in lifting operations",The robot performed the lifting by itself,Very safe,Absolutely,Not at all,"Sometimes I should be able to ask the robot to help, and sometimes the robot should figure out that I am struggling on its own","It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own",The robot ensures I do not have lifting-related injuries,The robot respects my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Not at all,Not concerned,Not concerned,Not concerned
USA,30 - 39,Male,"6' 1""",192,Manufacturing,Rural,6-20 hours,0 to 2,Impact from objects,Never,Rarely,"Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Not concerned,Comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,"Yes, and the robot was involved in lifting operations",The robot performed the lifting by itself,Very safe,Absolutely,Not at all,The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Somewhat,"The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Not at all,Somewhat concerned,Somewhat concerned,Not concerned
USA,30 - 39,Male,"6' 1""",190,Construction,Suburban,6-20 hours,0 to 2,None,Never,Never,No barriers,Yes,Not concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,"Co-worker  ensures I do not have lifting-related injuries, but I would be worried that co-worker would injure me","Yes, but the robot was not involved in lifting operations",Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),"Sometimes I should be able to ask the robot to help, and sometimes the robot should figure out that I am struggling on its own","It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own","The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Somewhat,Not concerned,Not concerned,Not concerned
USA,18 - 29,Male,"5' 9""",170,Contract Work,Rural,0-5 hours,0 to 2,None,Rarely,Rarely,"Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Not concerned,Somewhat comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Somewhat,Not at all,Co-worker ensures I do not have lifting-related injuries,"Yes, and the robot was involved in lifting operations",The robot performed the lifting by itself,Very safe,Absolutely,Not at all,The robot helps only when I ask it to,"It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own","The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Somewhat,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,"The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Somewhat,Somewhat concerned,Somewhat concerned,Somewhat concerned
USA,30 - 39,Male,"6' 1""",210,Construction,"Urban, large-size city",6-20 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Rarely,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",Yes,Somewhat concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),"Sometimes I should be able to ask the robot to help, and sometimes the robot should figure out that I am struggling on its own","It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own",The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Not at all,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 8""",185,Warehousing,"Urban, large-size city",21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee)",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",Yes,Very concerned,Comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot and I should work together to lift the package,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,18 - 29,Female,"5' 5""",176,Warehousing,Suburban,21-40 hours,3 to 5,"Musculoskeletal injury (lower back, knee), Scratch, cuts",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",Occasionally,Very concerned,Somewhat comfortable,It depends on the package I am carrying and how I feel at the time,I prefer that my co-worker and I work together,Absolutely,Somewhat,Co-worker ensures I do not have lifting-related injuries,"Yes, and the robot was involved in lifting operations",The robot performed the lifting by itself,Somewhat safe,Somewhat,Somewhat,The robot always helps and does all the lifting,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Somewhat,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Not at all,Not concerned,Somewhat concerned,Not concerned
Canada,18 - 29,Female,"5' 0""",103.4,Warehousing,"Urban, large-size city",0-5 hours,0 to 2,"Slip, trip, or falls",Never,Rarely,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",Yes,Very concerned,Very comfortable,It depends on the package I am carrying and how I feel at the time,It depends on the package I am carrying and how I feel at the time,Somewhat,Somewhat,Co-worker ensures I do not have lifting-related injuries,"Yes, but the robot was not involved in lifting operations",Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps by automatically detecting if I am struggling without me asking,"It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own",The robot ensures I do not have lifting-related injuries,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,Somewhat concerned,Very concerned,Somewhat concerned
Canada,18 - 29,Male,"5' 5""",154,Manufacturing,"Urban, large-size city",0-5 hours,0 to 2,"Slip, trip, or falls",All the time,Sometimes,"Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Somewhat,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps by automatically detecting if I am struggling without me asking,"It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own",The robot ensures I do not have lifting-related injuries,The robot does not respect my independence,Absolutely,"The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot does not respect my independence,Not at all,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,Somewhat concerned,Very concerned,Somewhat concerned
Canada,40 - 49,Male,"5' 9""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee)",Sometimes,Sometimes,"Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Somewhat concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,40 - 49,Female,"5' 6""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Somewhat,Somewhat,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,40 - 49,Male,"5' 10""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Slip, trip, or falls, Impact from objects",Sometimes,Often,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 9""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Slip, trip, or falls, Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,18 - 29,Male,"5' 7""",110,Warehousing,"Urban, mid-size city",21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,60 - 69,Male,"5' 10""",163,Warehousing,"Urban, mid-size city",21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee)",Sometimes,Often,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",No,Somewhat concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot and I should work together to lift the package,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Somewhat,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,Somewhat concerned,Somewhat concerned,Not concerned
Canada,18 - 29,Male,"5' 8""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,40 - 49,Male,"5' 6""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,18 - 29,Male,"5' 10""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Slip, trip, or falls, Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,"Not applicable, I do not want a robot’s help",The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 10""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot does not care whether or not I have a lifting-related injury,The robot respects my independence,Absolutely,"The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Absolutely,"The robot ensures I do not have lifting-related injuries, but I would be worried that the robot would injure me",The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,50 - 59,Female,"5' 2""",145,Warehousing,"Urban, mid-size city",6-20 hours,0 to 2,"Musculoskeletal injury (lower back, knee)",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks",No,Somewhat concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,I prefer that my co-worker and I work together,Absolutely,Not at all,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,"It depends on the package and how I am feeling, i.e., sometimes the robot and I should work together, and sometimes it should lift the package on its own",The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,The robot does not care whether or not I have a lifting-related injury,The robot does not respect my independence,Somewhat,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Somewhat,Somewhat concerned,Somewhat concerned,Somewhat concerned
Canada,40 - 49,Male,"5' 8""",110,Construction,"Urban, mid-size city",21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Slip, trip, or falls, Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot always helps and does all the lifting,"Not applicable, I do not want a robot’s help",The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 8""",110,Construction,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, I prefer that my co-worker intervene and take over the lifting task, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot always helps and does all the lifting,The robot and I should work together to lift the package,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 10""",110,Construction,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Slip, trip, or falls, Impact from objects",Sometimes,Rarely,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, I prefer that my co-worker intervene and take over the lifting task, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot always helps and does all the lifting,"Not applicable, I do not want a robot’s help",The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
Canada,30 - 39,Male,"5' 9""",110,Warehousing,Suburban,21-40 hours,0 to 2,"Musculoskeletal injury (lower back, knee), Impact from objects",Sometimes,Sometimes,"Physical, e.g., I do not feel that I have enough physical help to be safe or to carry out my tasks, Psychological, e.g., I feel stressed out by the nature of my work or by the lack of safety",Yes,Very concerned,Very comfortable,I prefer to let my co-worker know that I need assistance,"I prefer that my co-worker and I work together, I prefer that my co-worker intervene and take over the lifting task, It depends on the package I am carrying and how I feel at the time",Absolutely,Absolutely,Co-worker ensures I do not have lifting-related injuries,No,Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),Not applicable (I have not worked alongside a robot in lifting operations),The robot helps only when I ask it to,The robot should lift package on its own,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,The robot ensures I do not have lifting-related injuries,The robot respects my independence,Absolutely,Very concerned,Very concerned,Very concerned
